time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-14 00:00:00+00:00,404,15,1200,243
2025-01-15 00:00:00+00:00,235,9,928,221
2025-01-16 00:00:00+00:00,241,10,1052,229
2025-01-17 00:00:00+00:00,119,18,871,229
2025-01-18 00:00:00+00:00,31,11,459,93
2025-01-19 00:00:00+00:00,94,6,353,93
2025-01-20 00:00:00+00:00,150,18,1044,208
2025-01-21 00:00:00+00:00,458,20,1088,218
2025-01-22 00:00:00+00:00,271,11,862,250
2025-01-23 00:00:00+00:00,51,13,968,216
2025-01-24 00:00:00+00:00,350,18,536,188
2025-01-25 00:00:00+00:00,41,7,247,72
2025-01-26 00:00:00+00:00,27,11,338,115
2025-01-27 00:00:00+00:00,247,21,642,186
