time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,762,293,858,241
2026-08-19 00:00:00+00:00,1104,213,686,240
2026-08-20 00:00:00+00:00,2367,299,599,255
2026-08-21 00:00:00+00:00,1695,276,931,269
2026-08-22 00:00:00+00:00,991,398,383,175
2026-08-23 00:00:00+00:00,1159,481,1099,872
2026-08-24 00:00:00+00:00,10146,302,719,254
2026-08-25 00:00:00+00:00,2847,329,855,232
2026-08-26 00:00:00+00:00,8905,209,705,242
2026-08-27 00:00:00+00:00,1496,168,690,251
2026-08-28 00:00:00+00:00,7416,315,951,253
2026-08-29 00:00:00+00:00,813,144,434,195
2026-08-30 00:00:00+00:00,1101,273,465,260
2026-08-31 00:00:00+00:00,3487,584,795,256
