time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,3559,660,8,7
2026-08-01 00:00:00+00:00,1816,461,2,2
2026-08-02 00:00:00+00:00,1604,440,4,4
2026-08-03 00:00:00+00:00,3587,723,9,5
2026-08-04 00:00:00+00:00,4185,743,5,5
2026-08-05 00:00:00+00:00,4018,709,13,8
2026-08-06 00:00:00+00:00,3838,743,43,10
2026-08-07 00:00:00+00:00,3554,692,25,12
2026-08-08 00:00:00+00:00,2074,495,5,5
2026-08-09 00:00:00+00:00,2108,460,7,6
2026-08-10 00:00:00+00:00,4018,767,11,6
2026-08-11 00:00:00+00:00,4316,804,5,4
2026-08-12 00:00:00+00:00,4255,779,16,11
2026-08-13 00:00:00+00:00,3751,760,10,6
