time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-18 00:00:00+00:00,2715,572,9,7
2026-05-19 00:00:00+00:00,2660,560,6,5
2026-05-20 00:00:00+00:00,2790,615,3,3
2026-05-21 00:00:00+00:00,3041,604,9,5
2026-05-22 00:00:00+00:00,2305,544,5,4
2026-05-23 00:00:00+00:00,837,255,7,5
2026-05-24 00:00:00+00:00,1118,247,8,5
2026-05-25 00:00:00+00:00,2238,516,21,7
2026-05-26 00:00:00+00:00,2726,552,18,9
2026-05-27 00:00:00+00:00,2850,599,9,7
2026-05-28 00:00:00+00:00,2704,557,11,7
2026-05-29 00:00:00+00:00,2877,587,3,2
2026-05-30 00:00:00+00:00,1383,340,11,7
2026-05-31 00:00:00+00:00,1229,314,6,4
