time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,1381,331,5,4
2026-06-21 00:00:00+00:00,1109,321,5,3
2026-06-22 00:00:00+00:00,3542,719,14,8
2026-06-23 00:00:00+00:00,3600,662,20,11
2026-06-24 00:00:00+00:00,3709,687,11,5
2026-06-25 00:00:00+00:00,3767,697,9,8
2026-06-26 00:00:00+00:00,3351,686,4,3
2026-06-27 00:00:00+00:00,1630,378,4,3
2026-06-28 00:00:00+00:00,1498,387,11,6
2026-06-29 00:00:00+00:00,3316,676,6,6
2026-06-30 00:00:00+00:00,3435,679,3,3
2026-07-01 00:00:00+00:00,3328,642,3,2
2026-07-02 00:00:00+00:00,3482,707,9,5
2026-07-03 00:00:00+00:00,3033,601,8,6
