time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-23 00:00:00+00:00,3824,731,5,5
2026-07-24 00:00:00+00:00,3501,682,12,5
2026-07-25 00:00:00+00:00,1486,438,8,6
2026-07-26 00:00:00+00:00,1632,478,11,9
2026-07-27 00:00:00+00:00,3720,740,6,5
2026-07-28 00:00:00+00:00,3941,713,3,1
2026-07-29 00:00:00+00:00,3755,713,14,9
2026-07-30 00:00:00+00:00,3731,731,6,6
2026-07-31 00:00:00+00:00,3559,660,8,7
2026-08-01 00:00:00+00:00,1816,461,2,2
2026-08-02 00:00:00+00:00,1604,440,4,4
2026-08-03 00:00:00+00:00,3587,723,9,5
2026-08-04 00:00:00+00:00,4185,743,5,5
2026-08-05 00:00:00+00:00,4018,709,13,8
