time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-30 00:00:00+00:00,204,60,10.0,7.0
2024-12-31 00:00:00+00:00,122,55,2.0,2.0
2025-01-01 00:00:00+00:00,38,22,,
2025-01-02 00:00:00+00:00,408,69,8.0,4.0
2025-01-03 00:00:00+00:00,369,67,8.0,5.0
2025-01-04 00:00:00+00:00,293,30,2.0,1.0
2025-01-05 00:00:00+00:00,62,26,3.0,2.0
2025-01-06 00:00:00+00:00,374,89,14.0,6.0
2025-01-07 00:00:00+00:00,466,94,26.0,6.0
2025-01-08 00:00:00+00:00,520,85,16.0,7.0
2025-01-09 00:00:00+00:00,586,104,29.0,10.0
2025-01-10 00:00:00+00:00,656,107,10.0,6.0
2025-01-11 00:00:00+00:00,203,32,5.0,3.0
2025-01-12 00:00:00+00:00,47,35,3.0,2.0
