url_path,views_total,views_unique
/maplibre/maplibre-gl-native-distribution,82,54
/maplibre/maplibre-gl-native-distribution/releases,28,13
/maplibre/maplibre-gl-native-distribution/issues/4,7,3
/maplibre/maplibre-gl-native-distribution/blob/main/Package.swift,5,4
/maplibre/maplibre-gl-native-distribution/issues/22,3,2
/maplibre/maplibre-gl-native-distribution/issues/13,3,1
/maplibre/maplibre-gl-native-distribution/issues,2,2
/maplibre/maplibre-gl-native-distribution/issues/8,2,2
/maplibre/maplibre-gl-native-distribution/releases/tag/6.0.0,2,2
/maplibre/maplibre-gl-native-distribution/releases/tag/6.7.1,2,2
