url_path,views_total,views_unique
/maplibre/maplibre-gl-native-distribution,130,71
/maplibre/maplibre-gl-native-distribution/releases,37,20
/maplibre/maplibre-gl-native-distribution/blob/main/Package.swift,20,6
/maplibre/maplibre-gl-native-distribution/releases/tag/6.16.0,5,5
/maplibre/maplibre-gl-native-distribution/tags,3,3
/maplibre/maplibre-gl-native-distribution/tree/main,3,3
/maplibre/maplibre-gl-native-distribution/issues,3,2
/maplibre/maplibre-gl-native-distribution/issues/4,3,2
/maplibre/maplibre-gl-native-distribution/releases/tag/6.15.0,3,2
/maplibre/maplibre-gl-native-distribution/tree/6.16.0,3,2
