time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,374,89,14,6
2025-01-07 00:00:00+00:00,466,94,26,6
2025-01-08 00:00:00+00:00,520,85,16,7
2025-01-09 00:00:00+00:00,586,104,29,10
2025-01-10 00:00:00+00:00,656,107,10,6
2025-01-11 00:00:00+00:00,203,32,5,3
2025-01-12 00:00:00+00:00,52,38,3,2
2025-01-13 00:00:00+00:00,429,104,18,9
2025-01-14 00:00:00+00:00,466,95,26,12
2025-01-15 00:00:00+00:00,691,110,12,8
2025-01-16 00:00:00+00:00,542,102,16,8
2025-01-17 00:00:00+00:00,552,84,7,7
2025-01-18 00:00:00+00:00,85,26,8,4
2025-01-19 00:00:00+00:00,28,20,4,3
